region,category,parameter,mode,powertrain,year,unit,value
Japan,Historical,EV chargers,,Publicly available slow,2016,,17260
Japan,Historical,EV chargers,,Publicly available fast,2017,,7255
Japan,Historical,EV chargers,,Publicly available slow,2017,,21507
Japan,Historical,EV chargers,,Publicly available fast,2018,,7684
Japan,Historical,EV chargers,,Publicly available slow,2018,,22287
Japan,Historical,EV chargers,,Publicly available fast,2019,,7858
Japan,Historical,EV chargers,,Publicly available slow,2019,,22536
Japan,Historical,EV chargers,,Publicly available fast,2020,,7939
Japan,Historical,EV chargers,,Publicly available slow,2020,,21916
Korea,Historical,EV chargers,,Publicly available fast,2011,,33
Korea,Historical,EV chargers,,Publicly available slow,2011,,321
Korea,Historical,EV chargers,,Publicly available fast,2012,,118
Korea,Historical,EV chargers,,Publicly available slow,2012,,640
Korea,Historical,EV chargers,,Publicly available fast,2013,,177
Korea,Historical,EV chargers,,Publicly available slow,2013,,833
Korea,Historical,EV chargers,,Publicly available fast,2014,,237
Korea,Historical,EV chargers,,Publicly available slow,2014,,1170
Korea,Historical,EV chargers,,Publicly available fast,2015,,341
Korea,Historical,EV chargers,,Publicly available slow,2015,,1095
Korea,Historical,EV chargers,,Publicly available fast,2016,,919
Korea,Historical,EV chargers,,Publicly available slow,2016,,1095
Korea,Historical,EV chargers,,Publicly available fast,2017,,3343
Korea,Historical,EV chargers,,Publicly available slow,2017,,10333
Korea,Historical,EV chargers,,Publicly available fast,2018,,5213
Korea,Historical,EV chargers,,Publicly available slow,2018,,22139
Korea,Historical,EV chargers,,Publicly available fast,2019,,7396
Korea,Historical,EV chargers,,Publicly available slow,2019,,37396
Korea,Historical,EV chargers,,Publicly available fast,2020,,9805
Korea,Historical,EV chargers,,Publicly available slow,2020,,54383
Mexico,Historical,EV chargers,,Publicly available slow,2017,,1486
Mexico,Historical,EV chargers,,Publicly available slow,2018,,1486
Mexico,Historical,EV chargers,,Publicly available slow,2019,,1820.1800537109375
Mexico,Historical,EV chargers,,Publicly available slow,2020,,2154.361083984375
