region,parameter,powertrain,year,unit,value
Germany,EV sales,BEV,2012,N/A,2214.0
Germany,EV sales,FCEV,2012,N/A,29.0
Germany,EV sales,PHEV,2012,N/A,1157.0
Germany,EV sales share,EV,2012,percent,0.109
Germany,EV sales,BEV,2013,N/A,5311.0
Germany,EV sales,FCEV,2013,N/A,23.0
Germany,EV sales,PHEV,2013,N/A,1620.0
Germany,EV sales share,EV,2013,percent,0.234
Germany,EV sales,BEV,2014,N/A,8347.0
Germany,EV sales,FCEV,2014,N/A,8.0
Germany,EV sales,PHEV,2014,N/A,4390.0
Germany,EV sales share,EV,2014,percent,0.418
Germany,EV sales,BEV,2015,N/A,12081.0
Germany,EV sales,FCEV,2015,N/A,63.0
Germany,EV sales,PHEV,2015,N/A,11111.0
Germany,EV sales share,EV,2015,percent,0.718
Germany,EV sales,BEV,2016,N/A,11321.5
Germany,EV sales,PHEV,2016,N/A,13290.5
Germany,EV sales share,EV,2016,percent,0.729
Germany,EV sales,BEV,2017,N/A,25065.0
Germany,EV sales,FCEV,2017,N/A,11.0
Germany,EV sales,PHEV,2017,N/A,29499.0
Germany,EV sales share,EV,2017,percent,1.561
Germany,EV sales,BEV,2018,N/A,36062.0
Germany,EV sales,FCEV,2018,N/A,24.0
Germany,EV sales,PHEV,2018,N/A,31442.0
Germany,EV sales share,EV,2018,percent,1.927
Germany,EV sales,BEV,2019,N/A,63281.0
Germany,EV sales,FCEV,2019,N/A,201.0
Germany,EV sales,PHEV,2019,N/A,45348.0
Germany,EV sales share,EV,2019,percent,2.923
Germany,EV sales,BEV,2020,N/A,194474.0
Germany,EV sales,FCEV,2020,N/A,308.0
Germany,EV sales,PHEV,2020,N/A,200469.0
Germany,EV sales share,EV,2020,percent,13.536
Greece,EV sales,BEV,2013,N/A,3.0
Greece,EV sales share,EV,2013,percent,0.005
Greece,EV sales,BEV,2014,N/A,39.0
Greece,EV sales share,EV,2014,percent,0.055
Greece,EV sales,BEV,2015,N/A,54.0
Greece,EV sales,PHEV,2015,N/A,21.0
Greece,EV sales share,EV,2015,percent,0.099
Greece,EV sales,BEV,2016,N/A,41.0
Greece,EV sales,PHEV,2016,N/A,55.0
Greece,EV sales share,EV,2016,percent,0.122
Greece,EV sales,BEV,2017,N/A,53.0
Greece,EV sales,PHEV,2017,N/A,138.0
Greece,EV sales share,EV,2017,percent,0.217
Greece,EV sales,BEV,2018,N/A,88.0
Greece,EV sales,PHEV,2018,N/A,211.0
Greece,EV sales share,EV,2018,percent,0.289
Greece,EV sales,BEV,2019,N/A,190.0
Greece,EV sales,PHEV,2019,N/A,290.0
Greece,EV sales share,EV,2019,percent,0.421
Greece,EV sales,BEV,2020,N/A,679.0
Greece,EV sales,PHEV,2020,N/A,1452.0
Greece,EV sales share,EV,2020,percent,2.632
Iceland,EV sales,BEV,2010,N/A,2.0
Iceland,EV sales,FCEV,2010,N/A,11.0
Iceland,EV sales share,EV,2010,percent,0.06
Iceland,EV sales,BEV,2012,N/A,17.0
Iceland,EV sales,PHEV,2012,N/A,9.0
Iceland,EV sales share,EV,2012,percent,0.311
Iceland,EV sales,BEV,2013,N/A,80.0
Iceland,EV sales,PHEV,2013,N/A,23.0
Iceland,EV sales share,EV,2013,percent,1.282
Iceland,EV sales,BEV,2014,N/A,195.0
Iceland,EV sales,PHEV,2014,N/A,29.0
Iceland,EV sales share,EV,2014,percent,2.144
