region,year,product,lge_per_100km
Brazil,2010,Diesel,11.02
Brazil,2010,Flexfuel,8.62
Brazil,2010,Petrol,8.71
Brazil,2011,Diesel,9.77
Brazil,2011,Flexfuel,8.49
Brazil,2011,Petrol,8.71
Brazil,2012,All vehicles,8.11
Brazil,2012,City car,7.89
Brazil,2012,CNG,8.96
Brazil,2012,Diesel,9.59
Brazil,2012,Flexfuel,7.99
Brazil,2012,Large SUV/Pick-up,10.24
Brazil,2012,Medium car,7.68
Brazil,2012,Petrol,9.07
Brazil,2012,Small SUV/Pick-up,8.7
Brazil,2012,Van/LCV,9.44
Brazil,2013,All vehicles,8.2
Brazil,2013,City car,7.81
Brazil,2013,CNG,8.96
Brazil,2013,Diesel,9.59
Brazil,2013,Flexfuel,8.12
Brazil,2013,Large SUV/Pick-up,10.21
Brazil,2013,Medium car,7.74
Brazil,2013,Petrol,8.58
Brazil,2013,Small SUV/Pick-up,9.5
Brazil,2013,Van/LCV,9.94
Brazil,2014,All vehicles,7.93
Brazil,2014,City car,7.33
Brazil,2014,CNG,12.0
Brazil,2014,Diesel,9.93
Brazil,2014,Electric,1.51
Brazil,2014,Flexfuel,7.67
Brazil,2014,Large SUV/Pick-up,9.84
Brazil,2014,Medium car,8.02
Brazil,2014,Petrol,10.74
Brazil,2014,Small SUV/Pick-up,9.06
Brazil,2014,Van/LCV,9.38
Brazil,2015,All vehicles,7.85
Brazil,2015,City car,7.22
Brazil,2015,CNG,12.0
Brazil,2015,Diesel,9.96
Brazil,2015,Electric,1.33
Brazil,2015,Flexfuel,7.6
Brazil,2015,Large SUV/Pick-up,9.88
Brazil,2015,Medium car,7.95
Brazil,2015,Petrol,10.45
Brazil,2015,Plug-in,1.9
Brazil,2015,Small SUV/Pick-up,8.82
Brazil,2015,Van/LCV,9.36
Brazil,2016,All vehicles,7.64
Brazil,2016,City car,7.0
Brazil,2016,CNG,11.27
Brazil,2016,Diesel,10.12
Brazil,2016,Electric,1.65
Brazil,2016,Flexfuel,7.38
Brazil,2016,Large SUV/Pick-up,10.32
Brazil,2016,Medium car,7.62
Brazil,2016,Petrol,8.96
Brazil,2016,Plug-in,2.89
Brazil,2016,Small SUV/Pick-up,8.54
Brazil,2016,Van/LCV,8.12
Brazil,2017,All vehicles,7.61
Brazil,2017,City car,6.92
Brazil,2017,Diesel,10.04
Brazil,2017,Electric,1.97
Brazil,2017,Flexfuel,7.27
Brazil,2017,Large SUV/Pick-up,10.31
Brazil,2017,Medium car,7.47
Brazil,2017,Petrol,8.72
Brazil,2017,Plug-in,3.05
