region,year,renewables_pct,CO2e_grams_per_km_electric
Colombia,2019,0.7395463883264689,36.43927654008406
Comoros,2019,0.003416856391507739,130.34488789379074
Congo,2019,0.35448301503460394,68.97149597424966
Cook Islands,2019,0.24535205522654083,100.91059453645492
Costa Rica,2019,0.9920744564947356,13.64099907682196
Croatia,2019,0.6606176495732372,49.10510179887517
Cuba,2019,0.035718345841202266,123.9371260807556
Cyprus,2019,0.10112466138396461,118.72876036242414
Czechia,2019,0.46315333768746236,87.56566346562238
Democratic Republic of Congo,2019,0.9996585104926886,5.015068058224337
Denmark,2019,0.7595286228313808,47.46806144352577
Djibouti,2019,0.024390245564525747,127.80641062785142
Dominica,2019,0.23484663778086737,101.17642842209983
Dominican Republic,2019,0.1343216800605065,114.69972672697568
Ecuador,2019,0.7890859131385278,28.77658238742637
Egypt,2019,0.09986838619210518,93.41981685854654
El Salvador,2019,0.6763899639316121,65.9947675866771
Equatorial Guinea,2019,0.43337085154145477,57.953381533709035
Eritrea,2019,0.11993191015025427,116.15046567749444
Estonia,2019,0.2580499382665629,106.98439002649525
Ethiopia,2019,0.9996286965500436,4.898065587672864
Falkland Islands,2019,0.3401015113237951,87.0510614166202
Faroe Islands,2019,0.43425876451616724,75.64475288850228
Fiji,2019,0.602575531515896,57.95576675371695
Finland,2019,0.8136135361962472,38.01587532005341
France,2019,0.905072776557184,14.02585602845293
French Guiana,2019,0.5276640722782548,54.378951273239565
French Polynesia,2019,0.36535163310485086,85.04052919615367
Gabon,2019,0.40702279297768096,62.55430583868233
Gambia,2019,0.00958466465360544,129.60645404760052
Georgia,2019,0.7690600678604882,26.461426078531684
Germany,2019,0.5257492995689358,73.5781778983078
Ghana,2019,0.5018852183750729,51.618234310608415
Gibraltar,2019,0.0,130.77522935779817
Greece,2019,0.3160898527075513,89.23052907392379
Greenland,2019,0.8028313541153483,29.66134551431886
Grenada,2019,0.01556827513731841,128.874140460146
Guadeloupe,2019,0.13373270813446478,116.47918179043043
Guam,2019,0.039193084370466286,126.00458600139629
Guatemala,2019,0.5938641174754142,73.68031349154535
Guinea,2019,0.3097223673117778,91.80516306539823
Guinea-Bissau,2019,0.045454548100348255,125.24243087060935
Guyana,2019,0.012234549323560821,129.4999165071861
Haiti,2019,0.23429587732282114,101.27069565066773
Honduras,2019,0.7487342350174644,44.619193001480696
Hong Kong,2019,0.002873342134393811,130.57030712380623
Hungary,2019,0.6209643535909602,51.4317266645043
Iceland,2019,0.9998536179211627,22.00387107957003
India,2019,0.2405702001135808,124.68837696719358
Indonesia,2019,0.16953918763687253,129.41588583842534
Iran,2019,0.11950220055382221,95.74708281107951
Iraq,2019,0.030298265323864794,107.3457190443308
Ireland,2019,0.3643819030948981,68.87726921100713
Israel,2019,0.042030404992960124,116.85090338856132
Italy,2019,0.40350681264984656,72.04204508977722
Jamaica,2019,0.1337804282666789,109.3380205812075
Japan,2019,0.3057797594177772,95.61477554913897
Jordan,2019,0.13760055937371857,88.42088507907921
Kazakhstan,2019,0.1046614960540086,135.561855153223
Kenya,2019,0.8919975512371267,44.269463435139635
Kiribati,2019,0.1603230471327667,111.26045801567845
Kosovo,2019,0.05153469542158053,156.6920739829652
Kuwait,2019,0.0022086890321733037,98.38493688122259
Kyrgyzstan,2019,0.9235465400416472,16.892008066611314
Laos,2019,0.5748219194056132,73.0199555051474
Latvia,2019,0.4849728607984143,60.62325178757191
Lebanon,2019,0.018632543318162935,114.10042193253075
Lesotho,2019,1.0,4.8364215103745645
Liberia,2019,0.009991673987891454,129.55902721664728
Libya,2019,0.0002574442807543745,100.1516762141046
Lithuania,2019,0.7854715664439278,36.104094386028926
Luxembourg,2019,0.7152851863819638,46.61262581387283
Macau,2019,0.0,130.77522935779817
Madagascar,2019,0.4352703295287872,84.70854194835842
Malawi,2019,0.8800192757476825,18.355192181102193
Malaysia,2019,0.17860074748460125,110.13609414356293
Maldives,2019,0.004013914940615919,130.25919198330382
Mali,2019,0.3882586777343793,82.64654517397214
Malta,2019,0.10121244357349483,90.05459574583622
Martinique,2019,0.0742219293656333,125.34921009023087
Mauritania,2019,0.5235314662518936,57.94960701800116
Mauritius,2019,0.21051958528752704,120.76175714055053
Mexico,2019,0.21119026493437917,88.79459367614359
Moldova,2019,0.06976752617647167,146.9562943633973
Mongolia,2019,0.07924562236065656,152.15935423716232
Montenegro,2019,0.6295705912453216,64.01473262510562
Montserrat,2019,0.0,130.77522935779817
Morocco,2019,0.20658392382596438,111.14758672533922
Mozambique,2019,0.8316843485586137,26.250530049174547
Namibia,2019,0.98523516930833,7.1162595279472365
Nauru,2019,0.0,130.77522935779817
Nepal,2019,1.0,4.884229965146007
Netherlands,2019,0.21901287362281574,91.77353643360432
Netherlands Antilles,2019,0.3620751005807895,84.46970938893203
New Caledonia,2019,0.11740802574402276,115.94910804820401
New Zealand,2019,0.8237626483309354,37.4138594475414
Nicaragua,2019,0.6300969245738305,69.64047588530684
Niger,2019,0.040794586956272166,133.50977772963896
Nigeria,2019,0.18773161159304827,81.02839480291506
Niue,2019,0.0,130.77522935779817
North Korea,2019,0.8663745634691236,26.23248706379403
North Macedonia,2019,1.0,6.9887294587770645
Norway,2019,0.9821136755641695,6.58597476177998
Oman,2019,0.00010825694251929533,98.57471134620631
Pakistan,2019,0.4142749833343398,79.77557472954229
Palestine,2019,0.0012492023012622019,130.6875150710379
Panama,2019,0.8208157446900917,27.16423208155797
Papua New Guinea,2019,0.19797259393067304,97.61219844416813
Paraguay,2019,0.9999622664740624,5.824957430272199
Peru,2019,0.616554520219231,42.0563789119902
Philippines,2019,0.21343433770138714,120.59379126132488
Poland,2019,0.15067988577549427,136.029875768366
Portugal,2019,0.5362336933879779,60.0868620805541
Puerto Rico,2019,0.23783816828458454,101.04813159083702
Qatar,2019,0.0026108360714876917,98.47599303971704
Reunion,2019,0.3300567969920343,92.78721902672933
Romania,2019,0.6057468649134207,57.224274213982994
Russia,2019,0.37128926394321493,74.51290702480787
Rwanda,2019,0.5153404577673543,57.37733765700943
Saint Helena,2019,0.0,130.77522935779817
Saint Kitts and Nevis,2019,0.038788704426704866,125.7884716689761
Saint Lucia,2019,0.008238050764837053,129.77248097036616
Saint Pierre and Miquelon,2019,0.0,130.77522935779817
Saint Vincent and the Grenadines,2019,0.1760563411400446,108.63128465945213
Samoa,2019,0.3433354625894236,87.53080322627932
Sao Tome and Principe,2019,0.07407407369081377,121.44585122054356
Saudi Arabia,2019,0.00044209318434697726,111.78149789440577
Senegal,2019,0.11488688752657203,117.49705128379644
Serbia,2019,0.3181334392156473,114.15310408619129
Seychelles,2019,0.011538461050757122,129.37074988293503
Sierra Leone,2019,0.6925014256266872,44.44656642076195
Singapore,2019,0.032698773830049536,106.10720904761033
Slovakia,2019,0.8006541725164735,32.150300887508216
Slovenia,2019,0.6845841739791774,53.16484799456613
Solomon Islands,2019,0.04808254509893136,126.02987301939434
Somalia,2019,0.049539168960217185,124.62309176342049
South Africa,2019,0.11311994373720188,145.57234409766286
South Korea,2019,0.31113745869874115,97.99564154586419
