region,year,total_sales
Germany,2020,2919998.468146567
Greece,2013,60000.001341104544
Greece,2014,70909.0912933192
Greece,2015,75757.57616807608
Greece,2016,78688.52370594561
Greece,2017,88018.4361292605
Greece,2018,103460.2059907617
Greece,2019,114014.25074838515
Greece,2020,80965.04653148068
Iceland,2010,21666.667150954418
Iceland,2012,8360.128899360909
Iceland,2013,8034.321713526675
Iceland,2014,10447.760933782354
Iceland,2015,15171.467843449323
Iceland,2016,20758.446676426232
Iceland,2017,25869.28679826313
Iceland,2018,21302.050230872377
Iceland,2019,11747.787412326317
Iceland,2020,9369.868436282208
India,2010,2138095.266921045
India,2011,2505263.156584866
India,2012,2728571.34434946
India,2013,2549999.8788815048
India,2014,2702702.667871647
India,2015,2812499.8664134243
India,2016,2985074.552509244
India,2017,3157894.8383846474
India,2018,3236923.195652712
India,2019,3070588.0684217457
India,2020,2851785.626260529
Italy,2010,1999999.9050051018
Italy,2011,1883333.3169627523
Italy,2012,1390909.0984458767
Italy,2013,1301333.2816229947
Italy,2014,1372277.179942064
Italy,2015,1581481.418639056
Italy,2016,1831818.1917440793
Italy,2017,1978137.7005118697
Italy,2018,1920825.1347515804
Italy,2019,1918456.3891412604
Italy,2020,1381753.159697878
Japan,2010,4443636.38771467
Japan,2011,3848170.6254144385
Japan,2012,4610943.645132369
Japan,2013,4484782.651864353
Japan,2014,4827204.569938697
Japan,2015,4495691.3529709065
Japan,2016,4469618.247962784
Japan,2017,5314313.145267812
Japan,2018,5334745.73037536
Japan,2019,5283444.501972961
Japan,2020,4725274.544878319
Mexico,2012,800000.0043348832
Mexico,2013,1199999.943003061
Mexico,2014,960000.0214576727
Mexico,2015,1237499.9412219068
Mexico,2016,1383928.5287112773
Mexico,2017,1335555.502485348
Mexico,2018,1257042.2123648364
Mexico,2019,1142857.1244756654
Mexico,2020,978988.3295728678
Netherlands,2010,479999.9928474427
Netherlands,2011,550314.4848007682
Netherlands,2012,498732.932343966
Netherlands,2013,415785.5844275999
Netherlands,2014,389350.1362787337
Netherlands,2015,447064.82551216544
Netherlands,2016,380217.92824532243
Netherlands,2017,413160.0
Netherlands,2018,444810.0539195129
Netherlands,2019,446689.9867847718
Netherlands,2020,353224.39040747215
New Zealand,2010,166666.66521794267
New Zealand,2011,150000.00335276136
New Zealand,2012,158823.52078043512
New Zealand,2013,189473.69030307885
New Zealand,2014,227857.14188704686
New Zealand,2015,248241.20484049615
New Zealand,2016,264903.0113802828
New Zealand,2017,296752.14763694064
New Zealand,2018,286208.6792368019
New Zealand,2019,244531.25132501803
New Zealand,2020,193896.70987533353
Norway,2010,128652.48531506382
Norway,2011,137583.893571439
Norway,2012,137883.01063563826
Norway,2013,139897.7036692316
Norway,2014,145862.5166432609
Norway,2015,148848.39683489862
